year,universityId,subjectAreaId,subjectId,amount
2012,327005,26,26,63
2013,327005,26,26,72
2014,327005,26,26,90
2015,327005,26,26,98
2016,327005,26,26,128
2017,327005,26,26,116
2018,327005,26,26,126
2019,327005,26,26,117
2020,327005,26,26,126
2021,327005,26,26,116
2012,327005,27,27,3
2013,327005,27,27,10
2014,327005,27,27,4
2015,327005,27,27,8
2016,327005,27,27,21
2017,327005,27,27,15
2018,327005,27,27,40
2019,327005,27,27,23
2020,327005,27,27,21
2021,327005,27,27,22
2012,327005,28,28,1
2013,327005,28,28,2
2014,327005,28,28,1
2015,327005,28,28,1
2016,327005,28,28,2
2017,327005,28,28,2
2018,327005,28,28,0
2019,327005,28,28,2
2020,327005,28,28,1
2021,327005,28,28,0
2012,327005,29,29,0
2013,327005,29,29,0
2014,327005,29,29,0
2015,327005,29,29,0
2016,327005,29,29,1
2017,327005,29,29,0
2018,327005,29,29,1
2019,327005,29,29,0
2020,327005,29,29,3
2021,327005,29,29,1
2012,327005,30,30,0
2013,327005,30,30,1
2014,327005,30,30,0
2015,327005,30,30,3
2016,327005,30,30,4
2017,327005,30,30,9
2018,327005,30,30,3
2019,327005,30,30,8
2020,327005,30,30,4
2021,327005,30,30,4
2012,327005,31,31,43
2013,327005,31,31,103
2014,327005,31,31,73
2015,327005,31,31,78
2016,327005,31,31,89
2017,327005,31,31,83
2018,327005,31,31,96
2019,327005,31,31,94
2020,327005,31,31,96
2021,327005,31,31,109
2012,327005,32,32,0
2013,327005,32,32,0
2014,327005,32,32,0
2015,327005,32,32,1
2016,327005,32,32,0
2017,327005,32,32,0
2018,327005,32,32,2
2019,327005,32,32,2
2020,327005,32,32,2
2021,327005,32,32,5
2012,327005,33,33,8
